Date,Ticker,1d_ret,5d_ret,RSI,mom_12_1,sma20_50_ratio,price_200dma,macd_hist,vol_20d,vol_ratio,ATR,bollinger_percent_b,volume_20d_ratio,OBV,op_margin,net_margin,roe,roa,rev_yoy,np_yoy,ebitda_yoy,de_ratio,int_cov,net_debt_ebitda,repo_rate,cpi_yoy,gsec_10y,nifty_log_ret,sp500_log_ret,crude_log_ret,usd_log_ret,us10y_change,vix_log_change,sentiment_score
2021-01-01,BHARTIARTL,0.010635817898142082,-0.004164842646054794,56.11840044611093,,1.0560185938422493,1.0183126003209213,-0.7928460217186348,0.016474256987976138,0.8391776624897315,12.670244951152066,0.7041266714673384,0.643501686129147,73574362.0,0.15250559700372732,-0.18670884176535202,-0.3125965129716784,-0.10155044495855106,,,,1.3853886478972315,1.0516690696118265,2.152609896819926,5.94,3.162966,5.94,0.002624978069994666,0.0,0.0,-0.0006127591843679004,0.0,0.0,0.0
2021-01-01,M&M,0.016310983774411928,0.029863254438251684,51.70494893545597,,1.0634221904304815,1.3289569586430197,-2.4747928121255853,0.020079493294807734,0.9461896830334231,23.06288089865942,0.5988157934042357,1.8775039813548235,257026523.0,,,,,,,,,,,5.94,3.162966,5.94,0.002624978069994666,0.0,0.0,-0.0006127591843679004,0.0,0.0,0.06800973415374756
2021-01-01,RELIANCE,0.001107677750466453,-0.0033402612214722058,45.45229511059255,,0.9986174981319845,1.0895794638075427,1.8910910554457923,0.01128936029729031,0.5736741557907777,19.85220243210096,0.558704166468469,0.45045846335043577,961353968.0,,,,,,,,,,,5.94,3.162966,5.94,0.002624978069994666,0.0,0.0,-0.0006127591843679004,0.0,0.0,-0.5706002712249756
2021-01-01,INFY,0.003695885211391111,0.01954780599508204,74.78965071626918,,1.0453583606253178,1.4105366614465877,4.7315813169277945,0.01313591634902528,0.812632205792516,21.83824441003702,0.8689405879016847,0.47749960682660714,379692515.0,,,,,,,,,,,5.94,3.162966,5.94,0.002624978069994666,0.0,0.0,-0.0006127591843679004,0.0,0.0,0.0
2021-01-01,HDFCBANK,-0.007863487579465237,0.01980829594605326,59.41609302897361,,1.030235295968027,1.2888565908033989,0.08825268946863574,0.013599105102803148,0.7593162552757843,13.859205834750169,0.7668031753271756,0.45797651049964927,712563808.0,,,,,,,,,,,5.94,3.162966,5.94,0.002624978069994666,0.0,0.0,-0.0006127591843679004,0.0,0.0,-0.023364245891571045
2021-01-01,HUL,-0.003282537425086138,-0.006138112569660115,52.074566317793234,,1.0554066979952301,1.1106426487390777,0.6051194420579478,0.01436273805614416,1.171835249329289,43.25095386519755,0.714614952435442,0.38041547885550436,-194749855.0,,,,,,,,,,,5.94,3.162966,5.94,0.002624978069994666,0.0,0.0,-0.0006127591843679004,0.0,0.0,0.0
2021-01-04,RELIANCE,0.001684101370335039,-0.006234118953337006,49.88164766843782,0.2766595853450895,1.0008998034473011,1.0884433152729356,1.8122011852053852,0.01106930022909589,0.5627754775562014,19.92507222173308,0.5743358670546906,1.0877624482576946,985867502.0,,,,,,,,,,,5.94,3.162966,5.94,0.008127554493474463,0.0,0.0,3.83084511986282e-05,0.0,0.0,0.021457858383655548
2021-01-04,INFY,0.021816014515388914,0.03793148393031913,77.78524263377562,0.44864763308544975,1.0489330517088644,1.4356498635142367,5.473703128451987,0.013625704845163273,0.8466874256840774,22.162083492403756,0.960800269820243,0.8247484086550383,386900969.0,,,,,,,,,,,5.94,3.162966,5.94,0.008127554493474463,0.0,0.0,3.83084511986282e-05,0.0,0.0,0.0
2021-01-04,BHARTIARTL,0.0037780948305139654,-0.008664753819397115,57.94233135983162,0.060608245118035364,1.0546558045336947,1.0215207202942047,-0.8031862071277054,0.015399674940123124,0.7844708552489789,12.536621502512977,0.7430009955667544,0.8863164093929822,87063476.0,0.15250559700372732,-0.18670884176535202,-0.3125965129716784,-0.10155044495855106,,,,1.3853886478972315,1.0516690696118265,2.152609896819926,5.94,3.162966,5.94,0.008127554493474463,0.0,0.0,3.83084511986282e-05,0.0,0.0,0.0
2021-01-04,HDFCBANK,-0.006370966368334309,0.002227083730868858,59.842846786320344,0.07428660335005788,1.0285874502364818,1.2781230908341505,-0.3020872868009832,0.013673188698621027,0.7714930340937937,14.501932120508513,0.6562495414709277,0.8426120481421537,696823616.0,,,,,,,,,,,5.94,3.162966,5.94,0.008127554493474463,0.0,0.0,3.83084511986282e-05,0.0,0.0,0.2754963282495737
